Tempering_time_(s) Tempering_temperature_(ºC) C(%wt) Mn(%wt) P(%wt) S(%wt) Si(%wt) Ni(%wt) Cr(%wt) Mo(%wt) V(%wt) Al(%wt) Cu(%wt) Final_hardness_(HRC)_post_tempering
86400 315.6 0.5 0.91 0.046 0.041 0.13 0 0 0 0 0 0 48.7
86400 426.7 0.5 0.91 0.046 0.041 0.13 0 0 0 0 0 0 39.5
86400 537.8 0.5 0.91 0.046 0.041 0.13 0 0 0 0 0 0 26.5
3600 204.4  0.67 0.87 0.023 0.018 0.17 0.02 0.04 0 0 0 0 58.3
3600 260  0.67 0.87 0.023 0.018 0.17 0.02 0.04 0 0 0 0 55.9
3600 315.6  0.67 0.87 0.023 0.018 0.17 0.02 0.04 0 0 0 0 52.4
3600 371.1  0.67 0.87 0.023 0.018 0.17 0.02 0.04 0 0 0 0 49.5
3600 426.7  0.67 0.87 0.023 0.018 0.17 0.02 0.04 0 0 0 0 44.8
3600 482.2  0.67 0.87 0.023 0.018 0.17 0.02 0.04 0 0 0 0 39.7
3600 537.8  0.67 0.87 0.023 0.018 0.17 0.02 0.04 0 0 0 0 34.5
3600 593.3  0.67 0.87 0.023 0.018 0.17 0.02 0.04 0 0 0 0 29.7
